name,country,operator,users,purpose,orbit_class,orbit_type,perigee_km,apogee_km,eccentricity,inclination_deg,period_min,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_yrs,launch_vehicle,launch_site,cospar_id,launch_year,description,sentiment_compound,sentiment_label,capability_score,capability_label,cluster,cluster_label
SAT-CAN-0011,Canada,Boeing,Commercial,Amateur Radio,MEO,Molniya,17574,19513,0.03891,69.87,652.3,6054.4,4831.7,13033.0,2017-04-18,14.3,H-IIA,"Plesetsk Cosmodrome, Russia",2017-011A,2017,"SAT-CAN-0011 is a heavy-class satellite (over 2,000 kg) operated by Boeing (Canada), launched in 2017 aboard a H-IIA from Plesetsk Cosmodrome, Russia. Its primary mission is to support amateur radio communications globally, operated for commercial telecommunications and data services. The satellite occupies a medium Earth orbit (MEO) at approximately 18,543 km altitude on a Molniya trajectory, with an orbital inclination of 69.9° and a period of 652.3 minutes. The orbit is slightly elliptical, providing stable service windows. Designed for long-duration operations, it carries a 6054 kg launch mass and is expected to remain operational for 14.3 years.",0.9259,Positive,8,Operational Tier,3,Military & Surveillance
SAT-ISR-0012,Israel,NASA,Civil,Space Science,HEO,Sun-Synchronous,323,34061,0.71591,5.77,599.9,107.2,81.7,17207.0,2004-10-08,14.6,Ariane 5,"Plesetsk Cosmodrome, Russia",2004-012A,2004,"SAT-ISR-0012 is a microsatellite (100–500 kg) operated by NASA (Israel), launched in 2004 aboard a Ariane 5 from Plesetsk Cosmodrome, Russia. Its primary mission is to conduct scientific research and space science experiments, providing services to civil and governmental organisations. The satellite occupies a highly elliptical orbit (HEO) ranging from 323 km to 34,061 km altitude on a Sun-Synchronous trajectory, with an orbital inclination of 5.8° and a period of 599.9 minutes. Its highly elliptical orbit delivers extended coverage over polar and high-latitude areas. Designed for long-duration operations, it carries a 107 kg launch mass and is expected to remain operational for 14.6 years.",1.0,Positive,6,Operational Tier,5,Technology Demonstrators
SAT-NET-0013,Netherlands,SES,Commercial,Meteorology,MEO,Equatorial,11125,12495,0.03768,9.24,406.6,3810.1,2181.0,8529.0,2020-04-26,9.0,H-IIA,"Kennedy Space Center, USA",2020-013A,2020,"SAT-NET-0013 is a heavy-class satellite (over 2,000 kg) operated by SES (Netherlands), launched in 2020 aboard a H-IIA from Kennedy Space Center, USA. Its primary mission is to monitor atmospheric conditions and weather patterns, operated for commercial telecommunications and data services. The satellite occupies a medium Earth orbit (MEO) at approximately 11,810 km altitude on a Equatorial trajectory, with an orbital inclination of 9.2° and a period of 406.6 minutes. The orbit is slightly elliptical, providing stable service windows. Designed for long-duration operations, it carries a 3810 kg launch mass and is expected to remain operational for 9.0 years.",1.0,Positive,8,Operational Tier,3,Military & Surveillance
SAT-FRA-0014,France,ISRO,Civil,Technology Development,LEO,Medium Earth,424,527,0.00752,45.34,94.0,1164.4,895.8,8918.0,2002-09-15,4.9,Antares,"Plesetsk Cosmodrome, Russia",2002-014A,2002,"SAT-FRA-0014 is a medium-class satellite (500–2,000 kg) operated by ISRO (France), launched in 2002 aboard a Antares from Plesetsk Cosmodrome, Russia. Its primary mission is to test and validate next-generation space technologies, providing services to civil and governmental organisations. The satellite occupies a low Earth orbit (LEO) at approximately 475 km altitude on a Medium Earth trajectory, with an orbital inclination of 45.3° and a period of 94.0 minutes. Its orbit is nearly perfectly circular, ensuring consistent coverage. Designed for medium-duration operations, it carries a 1164 kg launch mass and is expected to remain operational for 4.9 years.",1.0,Positive,3,Support Tier,4,Scientific Explorers
SAT-RUS-0015,Russia,JAXA,Civil,Amateur Radio,LEO,Polar,403,569,0.0121,88.44,94.2,3876.8,2138.4,19708.0,2000-07-16,17.5,PSLV,"Cape Canaveral, USA",2000-015A,2000,"SAT-RUS-0015 is a heavy-class satellite (over 2,000 kg) operated by JAXA (Russia), launched in 2000 aboard a PSLV from Cape Canaveral, USA. Its primary mission is to support amateur radio communications globally, providing services to civil and governmental organisations. The satellite occupies a low Earth orbit (LEO) at approximately 486 km altitude on a Polar trajectory, with an orbital inclination of 88.4° and a period of 94.2 minutes. The orbit is slightly elliptical, providing stable service windows. Designed for ultra-long-duration operations, it carries a 3877 kg launch mass and is expected to remain operational for 17.5 years.",1.0,Positive,6,Operational Tier,3,Military & Surveillance
SAT-GER-0016,Germany,CNES,Commercial,Meteorology,GEO,Sun-Synchronous,35808,36092,0.00336,30.73,1444.1,5899.1,3738.1,10107.0,2003-01-19,2.6,Antares,"Plesetsk Cosmodrome, Russia",2003-016A,2003,"SAT-GER-0016 is a heavy-class satellite (over 2,000 kg) operated by CNES (Germany), launched in 2003 aboard a Antares from Plesetsk Cosmodrome, Russia. Its primary mission is to monitor atmospheric conditions and weather patterns, operated for commercial telecommunications and data services. The satellite occupies a geostationary orbit (GEO) at ~35,786 km, maintaining a fixed position over Earth on a Sun-Synchronous trajectory, with an orbital inclination of 30.7° and a period of 1444.1 minutes. Its orbit is nearly perfectly circular, ensuring consistent coverage. Designed for short-duration operations, it carries a 5899 kg launch mass and is expected to remain operational for 2.6 years.",1.0,Positive,9,Strategic Tier,4,Scientific Explorers
SAT-IND-0017,India,SpaceX / Starlink,Civil,Amateur Radio,MEO,Polar,3863,5830,0.08768,87.25,197.1,1919.9,1212.5,891.0,1994-11-28,3.7,Ariane 5,"Vandenberg Air Force Base, USA",1994-017A,1994,"SAT-IND-0017 is a medium-class satellite (500–2,000 kg) operated by SpaceX / Starlink (India), launched in 1994 aboard a Ariane 5 from Vandenberg Air Force Base, USA. Its primary mission is to support amateur radio communications globally, providing services to civil and governmental organisations. The satellite occupies a medium Earth orbit (MEO) at approximately 4,846 km altitude on a Polar trajectory, with an orbital inclination of 87.2° and a period of 197.1 minutes. Its moderately elliptical orbit enables extended dwell time over target regions. Designed for medium-duration operations, it carries a 1920 kg launch mass and is expected to remain operational for 3.7 years.",1.0,Positive,6,Operational Tier,3,Military & Surveillance
SAT-GER-0018,Germany,DLR,Military,Technology Development,Elliptical,Medium Earth,1657,27130,0.61338,44.81,496.3,1090.5,844.4,285.0,2005-05-13,13.4,Electron,"Jiuquan Satellite Launch Center, China",2005-018A,2005,"SAT-GER-0018 is a medium-class satellite (500–2,000 kg) operated by DLR (Germany), launched in 2005 aboard a Electron from Jiuquan Satellite Launch Center, China. Its primary mission is to test and validate next-generation space technologies, serving military and defence agencies. The satellite occupies an elliptical orbit ranging from 1,657 km to 27,130 km on a Medium Earth trajectory, with an orbital inclination of 44.8° and a period of 496.3 minutes. Its highly elliptical orbit delivers extended coverage over polar and high-latitude areas. Designed for long-duration operations, it carries a 1090 kg launch mass and is expected to remain operational for 13.4 years.",0.5725,Positive,5,Support Tier,5,Technology Demonstrators
SAT-CAN-0019,Canada,SES,Civil/Commercial,Space Science,LEO,Equatorial,450,587,0.00994,81.71,94.9,2987.7,1556.6,19679.0,2012-02-08,4.4,New Shepard,"Plesetsk Cosmodrome, Russia",2012-019A,2012,"SAT-CAN-0019 is a heavy-class satellite (over 2,000 kg) operated by SES (Canada), launched in 2012 aboard a New Shepard from Plesetsk Cosmodrome, Russia. Its primary mission is to conduct scientific research and space science experiments, supporting commercial enterprises and civil institutions. The satellite occupies a low Earth orbit (LEO) at approximately 518 km altitude on a Equatorial trajectory, with an orbital inclination of 81.7° and a period of 94.9 minutes. Its orbit is nearly perfectly circular, ensuring consistent coverage. Designed for medium-duration operations, it carries a 2988 kg launch mass and is expected to remain operational for 4.4 years.",1.0,Positive,5,Support Tier,4,Scientific Explorers
SAT-CAN-0020,Canada,OneWeb,Commercial,Earth Observation,LEO,Geostationary,913,1082,0.01147,20.64,104.9,1285.8,619.0,12721.0,1996-12-18,6.7,PSLV,"Plesetsk Cosmodrome, Russia",1996-020A,1996,"SAT-CAN-0020 is a medium-class satellite (500–2,000 kg) operated by OneWeb (Canada), launched in 1996 aboard a PSLV from Plesetsk Cosmodrome, Russia. Its primary mission is to conduct continuous Earth observation and remote sensing, operated for commercial telecommunications and data services. The satellite occupies a low Earth orbit (LEO) at approximately 997 km altitude on a Geostationary trajectory, with an orbital inclination of 20.6° and a period of 104.9 minutes. The orbit is slightly elliptical, providing stable service windows. Designed for medium-duration operations, it carries a 1286 kg launch mass and is expected to remain operational for 6.7 years. Imagery from this satellite assists in map updating and geospatial reference frame maintenance for navigation infrastructure.",1.0,Positive,4,Support Tier,2,Navigation Constellation
SAT-UAE-0021,UAE,Roscosmos,Civil,Communications,HEO,Equatorial,457,44833,0.76468,25.67,819.8,6180.4,3564.4,14143.0,1992-01-11,13.3,Vega,"Kennedy Space Center, USA",1992-021A,1992,"SAT-UAE-0021 is a heavy-class satellite (over 2,000 kg) operated by Roscosmos (UAE), launched in 1992 aboard a Vega from Kennedy Space Center, USA. Its primary mission is to provide broadband and voice communications services, providing services to civil and governmental organisations. The satellite occupies a highly elliptical orbit (HEO) ranging from 457 km to 44,833 km altitude on a Equatorial trajectory, with an orbital inclination of 25.7° and a period of 819.8 minutes. Its highly elliptical orbit delivers extended coverage over polar and high-latitude areas. Designed for long-duration operations, it carries a 6180 kg launch mass and is expected to remain operational for 13.3 years. Its communications payload supports relay of navigation correction signals and timing data for ground-based augmentation systems.",1.0,Positive,9,Strategic Tier,1,GEO Comms Backbone
SAT-CHI-0022,China,CNSA,Civil/Commercial,Navigation/Global Positioning,LEO,Medium Earth,454,630,0.01273,91.44,95.3,382.5,159.1,7220.0,1999-07-05,8.2,Starship,"Satish Dhawan Space Centre, India",1999-022A,1999,"SAT-CHI-0022 is a microsatellite (100–500 kg) operated by CNSA (China), launched in 1999 aboard a Starship from Satish Dhawan Space Centre, India. Its primary mission is to deliver precise positioning and navigation signals, supporting commercial enterprises and civil institutions. The satellite occupies a low Earth orbit (LEO) at approximately 542 km altitude on a Medium Earth trajectory, with an orbital inclination of 91.4° and a period of 95.3 minutes. The orbit is slightly elliptical, providing stable service windows. Designed for long-duration operations, it carries a 382 kg launch mass and is expected to remain operational for 8.2 years. It forms a critical node in the global navigation satellite system (GNSS), enabling centimetre-level positioning accuracy for aviation, maritime, and terrestrial users.",1.0,Positive,6,Operational Tier,0,LEO Earth Watchers
SAT-JAP-0023,Japan,JAXA,Government,Amateur Radio,LEO,Molniya,1024,1223,0.01328,32.55,107.6,247.1,178.1,17295.0,2000-03-14,15.1,New Shepard,"Satish Dhawan Space Centre, India",2000-023A,2000,"SAT-JAP-0023 is a microsatellite (100–500 kg) operated by JAXA (Japan), launched in 2000 aboard a New Shepard from Satish Dhawan Space Centre, India. Its primary mission is to support amateur radio communications globally, operated under direct government mandate. The satellite occupies a low Earth orbit (LEO) at approximately 1,123 km altitude on a Molniya trajectory, with an orbital inclination of 32.5° and a period of 107.6 minutes. The orbit is slightly elliptical, providing stable service windows. Designed for ultra-long-duration operations, it carries a 247 kg launch mass and is expected to remain operational for 15.1 years.",0.9259,Positive,4,Support Tier,3,Military & Surveillance
SAT-AUS-0024,Australia,JAXA,Civil,Surveillance,GEO,Sun-Synchronous,35740,35795,0.00065,22.3,1434.8,2476.3,1644.3,8029.0,2002-08-12,16.2,PSLV,"Baikonur Cosmodrome, Kazakhstan",2002-024A,2002,"SAT-AUS-0024 is a heavy-class satellite (over 2,000 kg) operated by JAXA (Australia), launched in 2002 aboard a PSLV from Baikonur Cosmodrome, Kazakhstan. Its primary mission is to perform reconnaissance and surveillance operations, providing services to civil and governmental organisations. The satellite occupies a geostationary orbit (GEO) at ~35,786 km, maintaining a fixed position over Earth on a Sun-Synchronous trajectory, with an orbital inclination of 22.3° and a period of 1434.8 minutes. Its orbit is nearly perfectly circular, ensuring consistent coverage. Designed for ultra-long-duration operations, it carries a 2476 kg launch mass and is expected to remain operational for 16.2 years.",-0.8396,Negative,10,Strategic Tier,4,Scientific Explorers
SAT-NET-0025,Netherlands,DLR,Military/Government,Surveillance,GEO,Sun-Synchronous,35789,36049,0.00307,26.02,1442.5,1469.6,938.5,6979.0,1991-02-09,19.3,New Shepard,"Tanegashima Space Center, Japan",1991-025A,1991,"SAT-NET-0025 is a medium-class satellite (500–2,000 kg) operated by DLR (Netherlands), launched in 1991 aboard a New Shepard from Tanegashima Space Center, Japan. Its primary mission is to perform reconnaissance and surveillance operations, serving military and defence agencies. The satellite occupies a geostationary orbit (GEO) at ~35,786 km, maintaining a fixed position over Earth on a Sun-Synchronous trajectory, with an orbital inclination of 26.0° and a period of 1442.5 minutes. Its orbit is nearly perfectly circular, ensuring consistent coverage. Designed for ultra-long-duration operations, it carries a 1470 kg launch mass and is expected to remain operational for 19.3 years.",-1.0,Negative,9,Strategic Tier,4,Scientific Explorers
SAT-SWE-0026,Sweden,ISRO,Government,Earth Observation,HEO,Equatorial,820,38379,0.72311,79.04,694.2,3516.7,2418.7,14865.0,2006-01-23,11.1,Starship,"Satish Dhawan Space Centre, India",2006-026A,2006,"SAT-SWE-0026 is a heavy-class satellite (over 2,000 kg) operated by ISRO (Sweden), launched in 2006 aboard a Starship from Satish Dhawan Space Centre, India. Its primary mission is to conduct continuous Earth observation and remote sensing, operated under direct government mandate. The satellite occupies a highly elliptical orbit (HEO) ranging from 820 km to 38,379 km altitude on a Equatorial trajectory, with an orbital inclination of 79.0° and a period of 694.2 minutes. Its highly elliptical orbit delivers extended coverage over polar and high-latitude areas. Designed for long-duration operations, it carries a 3517 kg launch mass and is expected to remain operational for 11.1 years. Imagery from this satellite assists in map updating and geospatial reference frame maintenance for navigation infrastructure.",1.0,Positive,8,Operational Tier,2,Navigation Constellation
SAT-ISR-0027,Israel,OneWeb,Civil/Commercial,Technology Development,GEO,Inclined Geosynchronous,35810,35845,0.00041,68.33,1437.8,5351.8,2413.2,8467.0,2009-09-10,7.5,Delta IV,"Xichang Satellite Launch Center, China",2009-027A,2009,"SAT-ISR-0027 is a heavy-class satellite (over 2,000 kg) operated by OneWeb (Israel), launched in 2009 aboard a Delta IV from Xichang Satellite Launch Center, China. Its primary mission is to test and validate next-generation space technologies, supporting commercial enterprises and civil institutions. The satellite occupies a geostationary orbit (GEO) at ~35,786 km, maintaining a fixed position over Earth on a Inclined Geosynchronous trajectory, with an orbital inclination of 68.3° and a period of 1437.8 minutes. Its orbit is nearly perfectly circular, ensuring consistent coverage. Designed for medium-duration operations, it carries a 5352 kg launch mass and is expected to remain operational for 7.5 years.",1.0,Positive,8,Operational Tier,4,Scientific Explorers
SAT-USA-0028,USA,CNES,Civil/Commercial,Surveillance,Elliptical,Molniya,1665,19861,0.53099,31.58,372.0,6296.8,3632.4,4353.0,2008-04-14,12.7,H-IIA,"Xichang Satellite Launch Center, China",2008-028A,2008,"SAT-USA-0028 is a heavy-class satellite (over 2,000 kg) operated by CNES (USA), launched in 2008 aboard a H-IIA from Xichang Satellite Launch Center, China. Its primary mission is to perform reconnaissance and surveillance operations, supporting commercial enterprises and civil institutions. The satellite occupies an elliptical orbit ranging from 1,665 km to 19,861 km on a Molniya trajectory, with an orbital inclination of 31.6° and a period of 372.0 minutes. Its highly elliptical orbit delivers extended coverage over polar and high-latitude areas. Designed for long-duration operations, it carries a 6297 kg launch mass and is expected to remain operational for 12.7 years.",-1.0,Negative,8,Operational Tier,5,Technology Demonstrators
SAT-RUS-0029,Russia,JAXA,Military,Military Surveillance,LEO,Molniya,881,1012,0.00895,23.99,103.8,1633.1,1052.5,15393.0,2009-04-26,2.0,H-IIA,"Vandenberg Air Force Base, USA",2009-029A,2009,"SAT-RUS-0029 is a medium-class satellite (500–2,000 kg) operated by JAXA (Russia), launched in 2009 aboard a H-IIA from Vandenberg Air Force Base, USA. Its primary mission is to perform reconnaissance and surveillance operations, serving military and defence agencies. The satellite occupies a low Earth orbit (LEO) at approximately 946 km altitude on a Molniya trajectory, with an orbital inclination of 24.0° and a period of 103.8 minutes. Its orbit is nearly perfectly circular, ensuring consistent coverage. Designed for short-duration operations, it carries a 1633 kg launch mass and is expected to remain operational for 2.0 years.",-1.0,Negative,5,Support Tier,4,Scientific Explorers
SAT-SPA-0030,SpaceX (USA),JAXA,Government,Surveillance,Elliptical,Sun-Synchronous,898,33538,0.69185,75.46,600.9,94.1,66.9,4455.0,1999-11-23,15.4,New Shepard,"Plesetsk Cosmodrome, Russia",1999-030A,1999,"SAT-SPA-0030 is a nanosatellite (10–100 kg) operated by JAXA (SpaceX (USA)), launched in 1999 aboard a New Shepard from Plesetsk Cosmodrome, Russia. Its primary mission is to perform reconnaissance and surveillance operations, operated under direct government mandate. The satellite occupies an elliptical orbit ranging from 898 km to 33,538 km on a Sun-Synchronous trajectory, with an orbital inclination of 75.5° and a period of 600.9 minutes. Its highly elliptical orbit delivers extended coverage over polar and high-latitude areas. Designed for ultra-long-duration operations, it carries a 94 kg launch mass and is expected to remain operational for 15.4 years.",-1.0,Negative,6,Operational Tier,5,Technology Demonstrators
SAT-BRA-0031,Brazil,SES,Civil,Space Science,HEO,Molniya,251,39132,0.74592,93.1,697.9,7903.7,5098.4,14414.0,2019-11-17,12.5,Vega,"Vandenberg Air Force Base, USA",2019-031A,2019,"SAT-BRA-0031 is a heavy-class satellite (over 2,000 kg) operated by SES (Brazil), launched in 2019 aboard a Vega from Vandenberg Air Force Base, USA. Its primary mission is to conduct scientific research and space science experiments, providing services to civil and governmental organisations. The satellite occupies a highly elliptical orbit (HEO) ranging from 251 km to 39,132 km altitude on a Molniya trajectory, with an orbital inclination of 93.1° and a period of 697.9 minutes. Its highly elliptical orbit delivers extended coverage over polar and high-latitude areas. Designed for long-duration operations, it carries a 7904 kg launch mass and is expected to remain operational for 12.5 years.",1.0,Positive,9,Strategic Tier,5,Technology Demonstrators
SAT-CAN-0032,Canada,JAXA,Government,Meteorology,Elliptical,Geostationary,1413,15215,0.46994,7.59,295.2,5032.7,2485.1,6783.0,2007-09-16,6.6,Vega,"Baikonur Cosmodrome, Kazakhstan",2007-032A,2007,"SAT-CAN-0032 is a heavy-class satellite (over 2,000 kg) operated by JAXA (Canada), launched in 2007 aboard a Vega from Baikonur Cosmodrome, Kazakhstan. Its primary mission is to monitor atmospheric conditions and weather patterns, operated under direct government mandate. The satellite occupies an elliptical orbit ranging from 1,413 km to 15,215 km on a Geostationary trajectory, with an orbital inclination of 7.6° and a period of 295.2 minutes. Its highly elliptical orbit delivers extended coverage over polar and high-latitude areas. Designed for medium-duration operations, it carries a 5033 kg launch mass and is expected to remain operational for 6.6 years.",0.3876,Positive,7,Operational Tier,5,Technology Demonstrators
SAT-JAP-0033,Japan,ISRO,Military/Government,Surveillance,MEO,Medium Earth,6942,7415,0.01745,6.1,261.6,2680.5,1522.7,18106.0,1994-07-14,10.1,Electron,"Kennedy Space Center, USA",1994-033A,1994,"SAT-JAP-0033 is a heavy-class satellite (over 2,000 kg) operated by ISRO (Japan), launched in 1994 aboard a Electron from Kennedy Space Center, USA. Its primary mission is to perform reconnaissance and surveillance operations, serving military and defence agencies. The satellite occupies a medium Earth orbit (MEO) at approximately 7,178 km altitude on a Medium Earth trajectory, with an orbital inclination of 6.1° and a period of 261.6 minutes. The orbit is slightly elliptical, providing stable service windows. Designed for long-duration operations, it carries a 2680 kg launch mass and is expected to remain operational for 10.1 years.",-1.0,Negative,8,Operational Tier,3,Military & Surveillance
